id,name,lat,lng
129,Blue Island Ave & 18th St,41.85752,-87.66158
130,Damen Ave & Division St,41.90327,-87.67846
131,Lincoln Ave & Belmont Ave,41.93937,-87.66835
132,Wentworth Ave & 24th St (Temp),41.85008,-87.63215
133,Kingsbury St & Kinzie St,41.88918,-87.63851
134,Peoria St & Jackson Blvd,41.87764,-87.64954
135,Halsted St & 21st St,41.85367,-87.64652
136,Racine Ave & 13th St,41.86504,-87.65698
137,Morgan Ave & 14th Pl,41.86238,-87.65108
138,Clybourn Ave & Division St,41.9046,-87.64057
140,Dearborn Pkwy & Delaware Pl,41.89895,-87.6299
141,Clark St & Lincoln Ave,41.91571,-87.63461
142,McClurg Ct & Erie St,41.89453,-87.61806
143,Sedgwick St & Webster Ave,41.92217,-87.63891
144,Larrabee St & Webster Ave,41.92182,-87.64411
145,Mies van der Rohe Way & Chestnut St,41.89856,-87.62211
146,Loomis St & Jackson Blvd,41.87794,-87.66201
147,Indiana Ave & 26th St,41.84569,-87.62251
148,State St & 33rd St,41.83474,-87.62581
149,Calumet Ave & 33rd St,41.83486,-87.61791
150,Fort Dearborn Dr & 31st St,41.83855,-87.60821
152,Lincoln Ave & Diversey Pkwy,41.93221,-87.65864
153,Southport Ave & Wellington Ave,41.93575,-87.66364
154,Southport Ave & Belmont Ave,41.93912,-87.66384
156,Clark St & Wellington Ave,41.9365,-87.64756
157,Lake Shore Dr & Wellington Ave,41.9367,-87.63683
158,Milwaukee Ave & Wabansia Ave,41.91262,-87.6814
159,Claremont Ave & Hirsch St,41.90777,-87.68586
160,Campbell Ave & North Ave,41.91054,-87.68957
161,Rush St & Superior St,41.89574,-87.62599
162,Damen Ave & Wellington Ave,41.93588,-87.67844
163,Damen Ave & Clybourn Ave,41.93191,-87.67784
164,Franklin St & Lake St,41.88583,-87.63547
165,Clark St & Grace St,41.95081,-87.65918
166,Ashland Ave & Wrightwood Ave,41.92883,-87.66853
167,Damen Ave & Coulter St,41.84919,-87.67565
168,Michigan Ave & 14th St,41.86415,-87.62372
169,Canal St & Harrison St,41.87424,-87.63959
170,Clinton St & 18th St,41.85793,-87.64083
171,May St & Cullerton St,41.85516,-87.65414
172,Rush St & Cedar St,41.90236,-87.62774
173,Mies van der Rohe Way & Chicago Ave,41.89704,-87.62173
174,Canal St & Madison St,41.88208,-87.63984
175,Wells St & Polk St,41.87255,-87.63359
176,Clark St & Elm St,41.90291,-87.63141
177,Theater on the Lake,41.92627,-87.63086
178,State St & 19th St,41.85657,-87.62755
179,MLK Jr Dr & Pershing Rd,41.82458,-87.61678
180,Ritchie Ct & Banks St,41.90687,-87.62618
181,LaSalle St & Illinois St,41.89077,-87.63168
182,Wells St & Elm St,41.90317,-87.63442
183,Damen Ave & Thomas St (Augusta Blvd),41.90133,-87.67744
184,State St & 35th St,41.83104,-87.62684
185,Stave St & Armitage Ave,41.91774,-87.69143
186,Ogden Ave & Race Ave,41.8918,-87.65879
188,Greenview Ave & Fullerton Ave,41.92536,-87.66581
190,Southport Ave & Wrightwood Ave,41.92878,-87.6639
191,Canal St & Monroe St,41.88169,-87.63951
192,Canal St & Adams St,41.87935,-87.63997
193,State St & 29th St,41.84171,-87.62695
194,Wabash Ave & Wacker Pl,41.88688,-87.62606
195,Columbus Dr & Randolph St,41.88466,-87.61952
196,Cityfront Plaza Dr & Pioneer Ct,41.89053,-87.62205
197,Michigan Ave & Madison St,41.88208,-87.62513
198,Green St & Madison St,41.88187,-87.6488
199,Wabash Ave & Grand Ave,41.89143,-87.62676
200,MLK Jr Dr & 47th St,41.80985,-87.61628
201,Indiana Ave & 40th St,41.82168,-87.6215
202,Halsted St & 18th St,41.85752,-87.64621
203,Western Ave & 21st St,41.85409,-87.68585
204,Prairie Ave & Garfield Blvd,41.79485,-87.61874
205,Paulina St & 18th St,41.8579,-87.6687
206,Halsted St & Archer Ave,41.84719,-87.64683
207,Emerald Ave & 28th St,41.84358,-87.64539
208,Laflin St & Cullerton St,41.85489,-87.66359
209,Normal Ave & Archer Ave,41.84953,-87.64058
210,Ashland Ave & Division St,41.90342,-87.66781
211,St. Clair St & Erie St,41.89439,-87.62267
212,Wells St & Hubbard St,41.88995,-87.63427
213,Leavitt St & North Ave,41.91037,-87.68237
214,Damen Ave & Grand Ave,41.89161,-87.67688
215,Damen Ave & Madison St,41.88139,-87.67492
216,California Ave & Division St,41.90302,-87.69749
217,Elizabeth (May) St & Fulton St,41.8866,-87.65821
218,Wells St & 19th St,41.85679,-87.63387
219,Damen Ave & Cortland St,41.91598,-87.67733
220,Clark St & Drummond Pl,41.93125,-87.64431
222,Milwaukee Ave & Rockwell St,41.92023,-87.69265
223,Clifton Ave & Armitage Ave,41.91821,-87.65698
224,Halsted St & Willow St,41.91386,-87.64877
225,Halsted St & Dickens Ave,41.91995,-87.64884
226,Racine Ave & Belmont Ave,41.93972,-87.65886
227,Southport Ave & Waveland Ave,41.94813,-87.66397
228,Damen Ave & Melrose Ave,41.94058,-87.67854
229,Southport Ave & Roscoe St,41.94372,-87.66401
230,Lincoln Ave & Roscoe St,41.94335,-87.67093
231,Sheridan Rd & Montrose Ave,41.96163,-87.65464
232,Pine Grove Ave & Waveland Ave,41.94943,-87.64645
233,Sangamon St & Washington Blvd,41.88309,-87.6511
234,Clark St & Montrose Ave,41.96158,-87.6661
236,Sedgwick St & Schiller St,41.90762,-87.63853
237,MLK Jr Dr & 29th St,41.84204,-87.61697
238,Wolcott (Ravenswood) Ave & Montrose Ave,41.96141,-87.6762
239,Western Ave & Leland Ave,41.9665,-87.68843
240,Sheridan Rd & Irving Park Rd,41.95424,-87.65441
241,Morgan St & Polk St,41.8718,-87.65102
242,Damen Ave & Leland Ave,41.9671,-87.67904
243,Lincoln Ave & Sunnyside Ave,41.96302,-87.68479
244,Ravenswood Ave & Irving Park Rd,41.95466,-87.67391
245,Clarendon Ave & Junior Ter,41.96101,-87.64958
246,Ashland Ave & Belle Plaine Ave,41.95606,-87.66885
247,Shore Dr & 55th St,41.79522,-87.58077
248,Woodlawn Ave & 55th St,41.79528,-87.59647
249,Montrose Harbor,41.96398,-87.63818
250,Ashland Ave & Wellington Ave,41.93609,-87.66984
251,Clarendon Ave & Leland Ave,41.96796,-87.65
252,Greenwood Ave & 47th St,41.80982,-87.59936
253,Winthrop Ave & Lawrence Ave,41.96883,-87.65765
254,Pine Grove Ave & Irving Park Rd,41.95438,-87.64806
255,Indiana Ave & Roosevelt Rd,41.86791,-87.62304
256,Broadway & Sheridan Rd,41.95282,-87.65
257,Lincoln Ave & Waveland Ave,41.9488,-87.67527
258,Logan Blvd & Elston Ave,41.92946,-87.68417
259,California Ave & Francis Pl (Temp),41.91853,-87.69745
260,Kedzie Ave & Milwaukee Ave,41.92958,-87.70791
261,Hermitage Ave & Polk St,41.87151,-87.6699
262,Halsted St & 37th St,41.82707,-87.64573
263,Rhodes Ave & 32nd St,41.8364,-87.61348
264,Stetson Ave & South Water St,41.8867,-87.62224
265,Cottage Grove Ave & Oakwood Blvd,41.82297,-87.6071
267,Lake Park Ave & 47th St,41.80944,-87.59188
268,Lake Shore Dr & North Blvd,41.91172,-87.62681
270,Stony Island Ave & 75th St,41.75867,-87.58692
271,Cottage Grove Ave & 43rd St,41.81648,-87.60659
272,Indiana Ave & 31st St,41.83882,-87.62186
273,Michigan Ave & 18th St,41.85783,-87.62455
274,Racine Ave & 15th St,41.86126,-87.6566
275,Ashland Ave & 13th St,41.86524,-87.66651
276,California Ave & North Ave,41.91043,-87.69718
277,Ashland Ave & Grand Ave,41.89108,-87.66665
278,Wallace St & 35th St,41.83062,-87.64129
279,Halsted St & 35th St,41.83067,-87.64715
280,Morgan St & 31st St,41.83779,-87.65116
281,Western Ave & 24th St,41.84847,-87.68513
282,Halsted St & Maxwell St,41.86487,-87.64708
283,LaSalle St & Jackson Blvd,41.87809,-87.63183
284,Michigan Ave & Jackson Blvd,41.87784,-87.62408
285,Wood St & Hubbard St,41.88989,-87.67149
286,Franklin St & Adams St (Temp),41.8793,-87.6355
287,Franklin St & Monroe St,41.88017,-87.63527
288,Larrabee St & Armitage Ave,41.91809,-87.64375
289,Wells St & Concord Ln,41.91209,-87.63472
290,Kedzie Ave & Palmer Ct,41.92152,-87.70734
291,Wells St & Evergreen Ave,41.90672,-87.63494
292,Southport Ave & Clark St,41.95709,-87.6642
293,Broadway & Wilson Ave,41.96521,-87.65822
294,Broadway & Berwyn Ave,41.97835,-87.65976
295,Broadway & Argyle St,41.97378,-87.65972
296,Broadway & Belmont Ave,41.9401,-87.64546
297,Paulina St & Montrose Ave,41.9615,-87.67141
298,Lincoln Ave & Belle Plaine Ave,41.95601,-87.68021
299,Halsted St & Roscoe St,41.94368,-87.64894
300,Broadway & Barry Ave,41.93761,-87.6441
301,Clark St & Schiller St,41.90796,-87.63203
302,Sheffield Ave & Wrightwood Ave,41.92859,-87.65421
303,Broadway & Cornelia Ave,41.94522,-87.64702
304,Broadway & Waveland Ave,41.94878,-87.64922
305,Western Ave & Division St,41.9028,-87.69005
306,Sheridan Rd & Buena Ave,41.9585,-87.655
307,Southport Ave & Clybourn Ave,41.92077,-87.66373
308,Seeley Ave & Roscoe St,41.94152,-87.68471
309,Leavitt St & Armitage Ave,41.91789,-87.6865
310,Damen Ave & Charleston St,41.91984,-87.68083
311,Leavitt St & Lawrence Ave,41.9689,-87.68402
312,Clarendon Ave & Gordon Ter,41.95637,-87.6563
313,Lakeview Ave & Fullerton Pkwy,41.9257,-87.64246
314,Ravenswood Ave & Berteau Ave,41.9535,-87.69199
315,Elston Ave & Wabansia Ave,41.91293,-87.66417
316,Damen Ave & Sunnyside Ave,41.95841,-87.69401
317,Wood St & Taylor St (Temp),41.87603,-87.68195
318,Southport Ave & Irving Park Rd,41.95254,-87.6735
319,Greenview Ave & Diversey Pkwy,41.93292,-87.67217
320,Loomis St & Lexington St,41.87327,-87.66402
321,Wabash Ave & 9th St,41.87427,-87.63257
322,Kimbark Ave & 53rd St,41.80321,-87.59849
323,Sheridan Rd & Lawrence Ave,41.96869,-87.66034
324,Stockton Dr & Wrightwood Ave,41.93173,-87.64179
325,Clark St & Winnemac Ave,41.9728,-87.67186
326,Clark St & Leland Ave,41.96665,-87.67113
327,Sheffield Ave & Webster Ave,41.92225,-87.65783
328,Ellis Ave & 58th St,41.78872,-87.6013
329,Lake Shore Dr & Diversey Pkwy,41.93258,-87.63642
330,Lincoln Ave & Addison St,41.94618,-87.67331
331,Halsted St & Clybourn Ave,41.90965,-87.64812
332,Burling St & Diversey Pkwy,41.93313,-87.64776
333,Ashland Ave & Blackhawk St,41.90706,-87.66725
334,Lake Shore Dr & Belmont Ave,41.94076,-87.63919
335,Calumet Ave & 35th St,41.83139,-87.61803
336,Cottage Grove Ave & 47th St,41.80985,-87.60675
337,Clark St & Chicago Ave,41.89659,-87.63096
338,Calumet Ave & 18th St,41.85758,-87.61956
339,Emerald Ave & 31st St,41.83817,-87.64523
340,Clark St & Wrightwood Ave,41.92956,-87.64313
341,Adler Planetarium,41.86608,-87.60733
342,Wolcott Ave & Polk St,41.87127,-87.6737
343,Racine Ave & Wrightwood Ave,41.92889,-87.65898
344,Ravenswood Ave & Lawrence Ave,41.9691,-87.67423
345,Lake Park Ave & 56th St,41.79326,-87.5878
346,Ada St & Washington Blvd,41.88284,-87.6612
347,Ashland Ave & Grace St,41.95068,-87.6687
348,California Ave & 21st St,41.8477,-87.69448
349,Halsted St & Wrightwood Ave,41.92915,-87.6491
350,Ashland Ave & Chicago Ave,41.89597,-87.66774
351,Cottage Grove Ave & 51st St,41.85441,-87.67678
352,Jeffery Blvd & 67th St,41.8137,-87.63448
353,Clark St & Touhy Ave,41.98656,-87.70761
354,Sheridan Rd & Greenleaf Ave,42.00587,-87.66802
355,South Shore Dr & 67th St,41.82217,-87.63032
356,Stony Island Ave & 71st St,41.87464,-87.70168
357,Lamon Ave & Armitage Ave,41.92,-87.75
358,Kilpatrick Ave & Parker Ave,41.93,-87.74
359,Larrabee St & Division St,41.90458,-87.6497
360,Kilbourn & Roscoe,41.94,-87.74
361,Kenosha & Wellington,41.93,-87.73
362,Lawndale Ave & 16th St,41.86,-87.72
363,Tripp Ave & 15th St,41.86,-87.73
364,Larrabee St & Oak St,41.90023,-87.64299
365,Halsted St & North Branch St,41.89936,-87.64848
366,Loomis St & Archer Ave,41.84164,-87.65744
367,Racine Ave & 35th St,41.83069,-87.65604
368,Ashland Ave & Archer Ave,41.83915,-87.66562
369,Wood St & 35th St,41.83012,-87.67031
370,Calumet Ave & 21st St,41.85415,-87.61917
371,Kildare Ave & Chicago Ave,41.9,-87.73
373,Kedzie Ave & Chicago Ave,41.89548,-87.70614
374,Western Ave & Walton St,41.89842,-87.68659
375,Sacramento Blvd & Franklin Blvd,41.89367,-87.71191
376,Artesian Ave & Hubbard St,41.88951,-87.68818
377,Kedzie Ave & Lake St,41.88719,-87.71697
378,California Ave & Lake St,41.89014,-87.71289
379,Rockwell St & Archer Ave,41.82,-87.69
381,Western Ave & Monroe St,41.87981,-87.68607
382,Western Ave & Congress Pkwy,41.8699,-87.68725
383,Paulina St & Flournoy St,41.87297,-87.66912
384,Halsted St & 51st St,41.8005,-87.68473
385,Princeton Ave & Garfield Blvd,41.79419,-87.64526
386,Halsted St & 56th St,41.793,-87.64502
388,Halsted St & 63rd St,41.78097,-87.65285
389,Maplewood Ave & 59th St,41.79,-87.69
390,Wentworth Ave & 63rd St,41.78008,-87.62975
391,Halsted St & 69th St,41.76907,-87.64462
392,Perry Ave & 69th St,41.76929,-87.62822
393,Calumet Ave & 71st St,41.88998,-87.75395
394,Clark St & 9th St (AMLI),41.87226,-87.63484
395,Jeffery Blvd & 76th St,41.75713,-87.57585
396,Yates Blvd & 75th St,41.88159,-87.7044
397,Narragansett Ave & School St,41.94,-87.79
398,Rainbow Beach,41.90386,-87.70941
399,South Shore Dr & 74th St,41.76225,-87.5592
400,Cottage Grove Ave & 71st St,41.76572,-87.60497
401,Shields Ave & 28th Pl,41.84276,-87.63549
402,Shields Ave & 31st St,41.83845,-87.6354
403,Wentworth Ave & 33rd St,41.83453,-87.63183
405,Wentworth Ave & 35th St,41.83078,-87.6325
406,Lake Park Ave & 35th St,41.83127,-87.6088
407,State St & Pershing Rd,41.82303,-87.62658
408,Union Ave & Root St,41.81914,-87.64328
409,Shields Ave & 43rd St,41.81617,-87.63457
410,Prairie Ave & 43rd St,41.81666,-87.61942
411,Halsted St & 47th Pl,41.80816,-87.64563
412,Princeton Ave & 47th St,41.80932,-87.63346
413,Woodlawn Ave & Lake Park Ave,41.81408,-87.59701
414,Canal St & Taylor St,41.87023,-87.63947
415,Calumet Ave & 51st St,41.80228,-87.61807
416,Dorchester Ave & 49th St,41.80578,-87.59247
417,Cornell Ave & Hyde Park Blvd,41.80242,-87.5869
418,Ellis Ave & 53rd St,41.79936,-87.60097
419,Lake Park Ave & 53rd St,41.79952,-87.58643
420,Ellis Ave & 55th St,41.79429,-87.60145
421,MLK Jr Dr & 56th St,41.79346,-87.61585
422,DuSable Museum,41.79156,-87.60785
423,University Ave & 57th St,41.79148,-87.59988
424,Museum of Science and Industry,41.79174,-87.58395
425,Harper Ave & 59th St,41.78795,-87.58831
426,Ellis Ave & 60th St,41.7851,-87.60108
427,Cottage Grove Ave & 63rd St,41.78061,-87.60602
428,Dorchester Ave & 63rd St,41.78041,-87.59139
429,Cottage Grove Ave & 67th St,41.77373,-87.60564
430,MLK Jr Dr & 63rd St,41.7801,-87.61595
431,Eberhart Ave & 61st St,41.78412,-87.6133
432,Clark St & Lunt Ave,42.00907,-87.67423
433,Kedzie Ave & Harrison St,41.87361,-87.70488
434,Ogden Ave & Roosevelt Rd,41.86651,-87.68465
435,Kedzie Ave & Roosevelt Rd,41.8665,-87.70649
436,Fairfield Ave & Roosevelt Rd,41.86664,-87.69452
437,Washtenaw Ave & Ogden Ave,41.86192,-87.69348
438,Central Park Ave & Ogden Ave,41.85395,-87.7151
439,Kedzie Ave & 21st St,41.85355,-87.70505
440,Central Park Ave & 24th St,41.8481,-87.71507
441,Kedzie Ave & 24th St,41.8482,-87.70543
442,California Ave & 23rd Pl,41.84912,-87.69515
443,Millard Ave & 26th St,41.84456,-87.71603
444,Albany Ave & 26th St,41.8445,-87.70202
445,California Ave & 26th St,41.84404,-87.69531
446,Western Ave & 28th St,41.84152,-87.68513
447,Glenwood Ave & Morse Ave,42.00797,-87.66548
448,Warren Park East,42.00456,-87.68064
449,Clark St & Columbia Ave,42.00446,-87.67241
450,Warren Park West,42.00179,-87.68883
451,Sheridan Rd & Loyola Ave,42.00108,-87.66123
452,Western Ave & Granville Ave,41.99417,-87.68945
453,Clark St & Schreiber Ave,41.99925,-87.67137
454,Broadway & Granville Ave,41.99478,-87.66027
455,Maplewood Ave & Peterson Ave,41.99024,-87.69338
456,2112 W Peterson Ave,41.99117,-87.68359
457,Clark St & Elmdale Ave,41.99052,-87.66982
458,Broadway & Thorndale Ave,41.98975,-87.66013
459,Lakefront Trail & Bryn Mawr Ave,41.98403,-87.65231
460,Clark St & Bryn Mawr Ave,41.98358,-87.66916
461,Broadway & Ridge Ave,41.98405,-87.66027
462,Winchester (Ravenswood) Ave & Balmoral Ave,41.97977,-87.67755
463,Clark St & Berwyn Ave,41.978,-87.66805
464,Damen Ave & Foster Ave,41.97562,-87.67945
465,Marine Dr & Ainslie St,41.97161,-87.65016
466,Ridge Blvd & Touhy Ave,42.01213,-87.68292
467,Western Ave & Lunt Ave,42.0086,-87.69047
468,Budlong Woods Library,41.98367,-87.69642
469,St. Louis Ave & Balmoral Ave,41.98038,-87.71612
470,Kedzie Ave & Foster Ave,41.97567,-87.70927
471,Francisco Ave & Foster Ave,41.97564,-87.70143
472,Lincoln Ave & Winona St,41.97492,-87.69262
473,Mason Ave & Belmont Ave,41.94,-87.77013
474,Christiana Ave & Lawrence Ave,41.96835,-87.71182
475,Washtenaw Ave & Lawrence Ave,41.96885,-87.69611
476,Kedzie Ave & Leland Ave,41.96668,-87.70807
477,Manor Ave & Leland Ave,41.96587,-87.70083
478,Rockwell St & Eastwood Ave,41.96587,-87.69364
479,Drake Ave & Montrose Ave,41.96116,-87.71658
480,Albany Ave & Montrose Ave,41.96104,-87.70586
481,California Ave & Montrose Ave,41.96108,-87.69544
482,Campbell Ave & Montrose Ave,41.96154,-87.69117
483,Avondale Ave & Irving Park Rd,41.9534,-87.73199
484,Monticello Ave & Irving Park Rd,41.954,-87.71907
485,Sawyer Ave & Irving Park Rd,41.95361,-87.70933
486,Oakley Ave & Irving Park Rd,41.95431,-87.68607
487,California Ave & Byron St,41.95216,-87.69806
488,Pulaski Rd & Eddy St (Temp),41.94627,-87.73105
489,Drake Ave & Addison St,41.94736,-87.7176
490,Troy St & Elston Ave,41.94523,-87.70664
491,Talman Ave & Addison St,41.94664,-87.69463
492,Leavitt St & Addison St,41.94662,-87.68337
493,Western Ave & Roscoe St,41.94304,-87.68729
494,Kedzie Ave & Bryn Mawr Ave,41.98234,-87.70892
495,Keystone Ave & Montrose Ave,41.96109,-87.72897
496,Avers Ave & Belmont Ave,41.9394,-87.72356
497,Kimball Ave & Belmont Ave,41.93941,-87.71159
498,California Ave & Fletcher St,41.93843,-87.69801
499,Kosciuszko Park,41.93056,-87.72381
500,Central Park Ave & Elbridge Ave,41.93534,-87.71686
501,Richmond St & Diversey Ave,41.93191,-87.70121
502,California Ave & Altgeld St,41.92667,-87.69772
503,St. Louis Ave & Fullerton Ave,41.92483,-87.71451
504,Campbell Ave & Fullerton Ave,41.92464,-87.68931
505,Winchester Ave & Elston Ave,41.92409,-87.67646
506,Spaulding Ave & Armitage Ave,41.91711,-87.71023
507,Humboldt Blvd & Armitage Ave,41.91752,-87.70181
508,Central Park Ave & North Ave,41.90964,-87.71664
509,Troy St & North Ave,41.9098,-87.70531
510,Spaulding Ave & Division St,41.90272,-87.70923
511,Albany Ave & Bloomingdale Ave,41.914,-87.70515
514,Ridge Blvd & Howard St,42.01927,-87.68452
515,Paulina St & Howard St,42.01915,-87.67356
517,Clark St & Jarvis Ave,42.01597,-87.675
518,Conservatory Dr & Lake St,41.8855,-87.71686
519,Wolcott Ave & Fargo Ave,42.01696,-87.67773
520,Greenview Ave & Jarvis Ave,42.01597,-87.66859
522,Bosworth Ave & Howard St,42.01954,-87.66954
523,Eastlake Ter & Rogers Ave,42.02089,-87.66505
524,Austin Blvd & Chicago Ave,41.89489,-87.77449
525,Glenwood Ave & Touhy Ave,42.01272,-87.66605
526,Oakley Ave & Touhy Ave,42.01235,-87.68825
527,Western Ave & Howard St,42.01892,-87.69004
528,Pulaski Rd & Lake St,41.88537,-87.72661
529,Cicero Ave & Lake St,41.88688,-87.74537
530,Laramie Ave & Kinzie St,41.88783,-87.75558
531,Central Ave & Lake St,41.88767,-87.76546
532,Austin Blvd & Lake St,41.88792,-87.77446
533,Central Park Blvd & 5th Ave,41.87568,-87.71549
534,Karlov Ave & Madison St,41.88085,-87.72793
535,Pulaski Rd & Congress Pkwy,41.87433,-87.72582
536,Kostner Ave & Lake St,41.88593,-87.7354
537,Kenton Ave & Madison St,41.8807,-87.74102
538,Cicero Ave & Flournoy St,41.87214,-87.74663
539,Cicero Ave & Quincy St,41.87762,-87.7454
540,Laramie Ave & Madison St,41.88022,-87.75536
541,Central Ave & Harrison St,41.87299,-87.7645
542,Central Ave & Madison St,41.88013,-87.76322
543,Laramie Ave & Gladys Ave,41.87581,-87.75531
544,Austin Blvd & Madison St,41.88028,-87.77448
545,Kostner Ave & Adams St,41.87792,-87.73583
546,Damen Ave & Pershing Rd,41.82319,-87.67661
547,Ashland Ave & Pershing Rd,41.82346,-87.66558
548,Morgan St & Pershing Rd,41.82363,-87.65093
